Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree;IoFlows;IoGdpRatio
1;-0,239679;0,896380;0,197881;3,670657;6666,000000;29047941698,305046;0,367004;0,040000;0,300000;0,188431;0,009450;0,938931;0,695783;0,271255;0,039275;0,000000;0,000000;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
2;-0,247001;0,918300;0,211039;3,594430;6666,000000;29248774682,594800;0,359047;0,040000;0,300000;0,199495;0,011544;0,912409;0,735426;0,373810;0,058577;0,000000;0,000000;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
3;-0,241138;0,892210;0,203571;3,678354;6666,000000;29017893666,094230;0,391848;0,040000;0,300000;0,190659;0,012912;0,932331;0,700565;0,273292;0,075758;0,000000;0,000000;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
4;-0,241921;0,907410;0,196022;3,631380;6666,000000;29136647141,414630;0,364524;0,040000;0,300000;0,186397;0,009625;0,898496;0,780083;0,302817;0,044280;0,000000;0,000000;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
5;-0,241268;0,895970;0,199771;3,663496;6666,000000;29066866590,295690;0,371792;0,040000;0,300000;0,190899;0,008872;0,917910;0,736364;0,254032;0,062112;0,000000;0,000000;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
6;-0,250323;0,921410;0,219895;3,582209;6666,000000;29292459080,336773;0,358867;0,040000;0,300000;0,210920;0,008975;0,947761;0,814286;0,397297;0,066390;0,000000;0,000000;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
7;-0,241048;0,898160;0,197614;3,667771;6666,000000;29051459685,366074;0,384712;0,040000;0,300000;0,186554;0,011059;0,900000;0,727273;0,271449;0,063758;0,000000;0,000000;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
8;-0,242461;0,899570;0,207231;3,654284;6666,000000;29072295318,023884;0,373931;0,040000;0,300000;0,194004;0,013228;0,914179;0,751572;0,294118;0,071429;0,000000;0,000000;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
9;-0,247125;0,914510;0,214484;3,601116;6666,000000;29241005252,328285;0,371723;0,040000;0,300000;0,202356;0,012128;0,905455;0,769547;0,347737;0,056911;0,000000;0,000000;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
10;-0,243560;0,893600;0,212772;3,672799;6666,000000;29041572921,633774;0,366516;0,040000;0,300000;0,203413;0,009359;0,938182;0,744792;0,253181;0,095847;0,000000;0,000000;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
11;-0,250993;0,922860;0,218869;3,568803;6666,000000;29315909691,856520;0,381130;0,040000;0,300000;0,206646;0,012223;0,940520;0,836634;0,425595;0,036866;0,000000;0,000000;4000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
