Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanSavings;MedianSavings;P10Savings;P90Savings;MeanDebt;TotalDebt;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;29442;40275;27834;2449;173453,63;144002,85;52036,09;346907,27;0.00;0.00;0,228948;0,101252;0,522780;0,224658;0;0;554,48;1664,33;4744,98;0,024490;0,00;0,024490;0,024490
2;23097;43409;31183;2311;168499,17;139060,92;50549,75;336998,35;0.00;0.00;0,213362;0,113128;0,506225;0,250067;0;0;534,64;1579,48;4186,36;0,023110;0,00;0,023110;0,023110
3;30552;39484;27750;2214;173903,00;143539,84;52170,90;347806,00;0.00;0.00;0,229934;0,135215;0,522960;0,224237;0;0;561,98;1675,88;4810,12;0,022140;0,00;0,022140;0,022140
4;26344;41935;29424;2297;170993,08;141050,71;51297,92;341986,16;0.00;0.00;0,221434;0,207822;0,516216;0,236100;0;0;549,39;1624,27;4491,60;0,022970;0,00;0,022970;0,022970
5;29420;40219;27979;2382;172797,03;142327,76;51839,11;345594,05;0.00;0.00;0,228850;0,120125;0,520888;0,228082;0;0;556,43;1669,58;4740,04;0,023820;0,00;0,023820;0,023820
6;22087;43427;32174;2312;168419,98;139373,06;50525,99;336839,96;0.00;0.00;0,210861;0,042425;0,503967;0,254586;0;0;524,87;1563,29;4067,34;0,023120;0,00;0,023120;0,023120
7;28994;40590;28005;2411;173748,79;143881,92;52124,64;347497,59;0.00;0.00;0,228165;0,194749;0,523021;0,226063;0;0;552,60;1660,22;4712,16;0,024110;0,00;0,024110;0,024110
8;28463;40651;28625;2261;173254,05;143102,45;51976,21;346508,10;0.00;0.00;0,226245;0,140193;0,519606;0,229806;0;0;557,70;1644,40;4676,22;0,022610;0,00;0,022610;0,022610
9;23974;43130;30544;2352;169275,40;139698,94;50782,62;338550,80;0.00;0.00;0,215721;0,179327;0,507866;0,247510;0;0;539,62;1591,48;4290,60;0,023520;0,00;0,023520;0,023520
10;30201;39062;28487;2250;174205,95;144275,71;52261,79;348411,90;0.00;0.00;0,230629;0,095813;0,521036;0,227089;0;0;555,15;1662,69;4788,80;0,022500;0,00;0,022500;0,022500
11;21656;43952;32100;2292;168183,58;138213,43;50455,07;336367,16;0.00;0.00;0,209363;0,179046;0,501742;0,257256;0;0;524,22;1555,22;4038,30;0,022920;0,00;0,022920;0,022920
12;28428;40529;28676;2367;173134,94;143016,26;51940,48;346269,89;0.00;0.00;0,227228;0,130745;0,521018;0,229421;0;0;550,90;1644,77;4668,23;0,023670;0,00;0,023670;0,023670
13;28545;40643;28504;2308;173152,77;143318,70;51945,83;346305,53;0.00;0.00;0,226473;0,094494;0,519723;0,229414;0;0;557,42;1648,89;4681,15;0,023080;0,00;0,023080;0,023080
14;22379;43339;31926;2356;167557,74;137738,65;50267,32;335115,47;0.00;0.00;0,212130;0,135087;0,502831;0,255614;0;0;527,07;1564,90;4112,21;0,023560;0,00;0,023560;0,023560
15;34928;36895;25980;2197;177057,83;147385,40;53117,35;354115,67;0.00;0.00;0,237915;0,151741;0,532478;0,210341;0;0;585,19;1730,03;5081,65;0,021970;0,00;0,021970;0,021970
16;26144;41440;30111;2305;170616,01;140553,53;51184,80;341232,03;0.00;0.00;0,221858;0,211883;0,511907;0,240235;0;0;543,03;1613,14;4513,73;0,023050;0,00;0,023050;0,023050
17;24813;42761;30029;2397;171664,26;141472,91;51499,28;343328,52;0.00;0.00;0,218247;0,195760;0,514856;0,239117;0;0;537,78;1607,53;4370,17;0,023970;0,00;0,023970;0,023970
18;25918;41898;29904;2280;169984,90;141014,10;50995,47;339969,79;0.00;0.00;0,220405;0,150275;0,512263;0,239927;0;0;548,47;1618,91;4480,06;0,022800;0,00;0,022800;0,022800
19;20975;44156;32551;2318;166650,38;137093,19;49995,11;333300,77;0.00;0.00;0,207507;0,173648;0,500861;0,258599;0;0;524,65;1549,30;3969,96;0,023180;0,00;0,023180;0,023180
20;24921;42269;30426;2384;169674,40;139957,90;50902,32;339348,79;0.00;0.00;0,219016;0,113439;0,511260;0,243263;0;0;538,14;1599,28;4374,76;0,023840;0,00;0,023840;0,023840
