Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanSavings;MedianSavings;P10Savings;P90Savings;MeanDebt;TotalDebt;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;17887;44160;35559;2394;186920,60;155672,93;56076,18;373841,19;0.00;0.00;0,174800;0,104793;0,489573;0,276204;0;0;1031,83;2198,99;3914,03;0,023940;0,00;0,023940;0,023940
2;16141;44927;36682;2250;185527,52;154477,63;55658,26;371055,04;0.00;0.00;0,169163;0,117946;0,486671;0,281857;0;0;1031,50;2173,76;3678,03;0,022500;0,00;0,022500;0,022500
3;19291;44769;33777;2163;190115,20;158024,91;57034,56;380230,41;0.00;0.00;0,175174;0,139956;0,499158;0,261819;0;0;1050,20;2251,92;4116,29;0,021630;0,00;0,021630;0,021630
4;15334;44860;37563;2243;183548,48;152620,70;55064,54;367096,97;0.00;0.00;0,167056;0,210309;0,481098;0,291363;0;0;1022,20;2149,94;3590,11;0,022430;0,00;0,022430;0,022430
5;19159;44272;34221;2348;189108,51;156866,60;56732,55;378217,02;0.00;0.00;0,177215;0,124878;0,497225;0,265641;0;0;1042,66;2235,38;4085,08;0,023480;0,00;0,023480;0,023480
6;15734;44586;37434;2246;185142,38;154056,82;55542,71;370284,76;0.00;0.00;0,168176;0,044893;0,484013;0,286233;0;0;1023,84;2154,28;3629,81;0,022460;0,00;0,022460;0,022460
7;16892;44898;35844;2366;187127,35;156030,03;56138,20;374254,69;0.00;0.00;0,171486;0,198379;0,490642;0,277384;0;0;1032,27;2189,77;3786,13;0,023660;0,00;0,023660;0,023660
8;19958;44748;33089;2205;191746,78;159748,42;57524,03;383493,56;0.00;0.00;0,177144;0,145559;0,502275;0,257854;0;0;1051,86;2267,99;4226,63;0,022050;0,00;0,022050;0,022050
9;17663;44653;35379;2305;188074,88;155782,51;56422,46;376149,75;0.00;0.00;0,173282;0,184025;0,492844;0,272860;0;0;1033,78;2206,73;3864,99;0,023050;0,00;0,023050;0,023050
10;16723;44699;36367;2211;186258,96;154566,97;55877,69;372517,93;0.00;0.00;0,170230;0,099203;0,484720;0,283025;0;0;1029,09;2177,24;3735,72;0,022110;0,00;0,022110;0,022110
11;15605;45000;37157;2238;185461,73;153873,57;55638,52;370923,47;0.00;0.00;0,167680;0,183233;0,482785;0,287602;0;0;1023,22;2152,81;3615,32;0,022380;0,00;0,022380;0,022380
12;16994;44560;36127;2319;186444,75;155108,00;55933,42;372889,50;0.00;0.00;0,172011;0,134602;0,489542;0,278433;0;0;1031,82;2184,23;3778,56;0,023190;0,00;0,023190;0,023190
13;17369;44777;35598;2256;188035,31;156557,50;56410,59;376070,62;0.00;0.00;0,172292;0,098404;0,491877;0,273336;0;0;1032,33;2195,16;3807,23;0,022560;0,00;0,022560;0,022560
