Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanSavings;MedianSavings;P10Savings;P90Savings;MeanDebt;TotalDebt;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;41051;33157;23011;2781;149038,87;121820,44;44711,66;298077,74;0.00;0.00;0,312293;0,094553;0,539125;0,197282;0;0;0,00;896,96;4697,72;0,027810;0,00;0,027810;0,027810
2;39247;34334;23742;2677;147472,33;120072,56;44241,70;294944,66;0.00;0.00;0,310266;0,107297;0,535273;0,203994;0;0;0,00;865,81;4635,79;0,026770;0,00;0,026770;0,026770
3;40490;33694;23255;2561;148471,68;120993,68;44541,50;296943,35;0.00;0.00;0,310352;0,127770;0,536951;0,200704;0;0;0,00;889,09;4684,14;0,025610;0,00;0,025610;0,025610
4;40857;33446;23092;2605;149493,69;122619,08;44848,11;298987,38;0.00;0.00;0,310863;0,201571;0,541641;0,196628;0;0;0,00;895,13;4690,88;0,026050;0,00;0,026050;0,026050
5;45445;30818;21094;2643;152711,88;124911,72;45813,57;305423,77;0.00;0.00;0,312612;0,113691;0,552096;0,179444;0;0;0,00;999,05;4844,10;0,026430;0,00;0,026430;0,026430
6;38623;34982;23732;2663;147828,30;120890,95;44348,49;295656,61;0.00;0.00;0,309107;0,039429;0,535812;0,204160;0;0;0,00;860,49;4625,08;0,026630;0,00;0,026630;0,026630
7;41903;32963;22394;2740;149775,12;122745,74;44932,54;299550,25;0.00;0.00;0,312042;0,188852;0,543148;0,193509;0;0;0,00;918,81;4732,54;0,027400;0,00;0,027400;0,027400
8;44290;31730;21428;2552;152273,36;125069,96;45682,01;304546,72;0.00;0.00;0,311325;0,133222;0,549156;0,183254;0;0;0,00;966,45;4796,21;0,025520;0,00;0,025520;0,025520
9;40985;33427;22949;2639;149517,13;122149,57;44855,14;299034,25;0.00;0.00;0,311205;0,172900;0,540756;0,196175;0;0;0,00;900,52;4700,96;0,026390;0,00;0,026390;0,026390
10;45730;30266;21422;2582;153739,62;126118,18;46121,89;307479,24;0.00;0.00;0,312872;0,090125;0,552103;0,178700;0;0;0,00;1001,21;4849,89;0,025820;0,00;0,025820;0,025820
