Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanSavings;MedianSavings;P10Savings;P90Savings;MeanDebt;TotalDebt;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;38507;34904;23940;2649;153925,59;126431,07;46177,68;307851,19;0.00;0.00;0,293554;0,095717;0,535434;0,202561;0;0;45,31;1037,73;4736,58;0,026490;0,00;0,026490;0,026490
2;34841;37132;25505;2522;151112,14;123271,61;45333,64;302224,29;0.00;0.00;0,288061;0,108220;0,526971;0,216200;0;0;39,20;982,61;4570,94;0,025220;0,00;0,025220;0,025220
3;39205;34492;23913;2390;154074,15;126017,90;46222,25;308148,31;0.00;0.00;0,292621;0,129091;0,535311;0,203417;0;0;61,69;1051,04;4763,14;0,023900;0,00;0,023900;0,023900
4;37473;35507;24527;2493;152664,19;124922,71;45799,26;305328,37;0.00;0.00;0,291643;0,203091;0,532356;0,209542;0;0;43,52;1023,25;4676,58;0,024930;0,00;0,024930;0,024930
5;39184;34266;23999;2551;154665,59;126436,97;46399,68;309331,18;0.00;0.00;0,294343;0,114343;0,537413;0,201677;0;0;52,71;1052,06;4758,09;0,025510;0,00;0,025510;0,025510
6;37412;35478;24617;2493;153564,05;125850,06;46069,21;307128,10;0.00;0.00;0,291364;0,040207;0,533571;0,208036;0;0;47,84;1025,57;4701,32;0,024930;0,00;0,024930;0,024930
7;41808;32725;22895;2572;157148,71;129283,52;47144,61;314297,42;0.00;0.00;0,296261;0,189668;0,546010;0,190267;0;0;63,40;1097,92;4865,36;0,025720;0,00;0,025720;0,025720
8;40617;33582;23337;2464;155756,10;128193,00;46726,83;311512,20;0.00;0.00;0,294708;0,134438;0,540590;0,195812;0;0;57,70;1077,37;4811,87;0,024640;0,00;0,024640;0,024640
9;38243;34910;24321;2526;153898,43;126088,55;46169,53;307796,85;0.00;0.00;0,293032;0,173955;0,535563;0,204100;0;0;50,71;1037,30;4718,45;0,025260;0,00;0,025260;0,025260
10;40208;33431;23887;2474;155448,07;127658,05;46634,42;310896,14;0.00;0.00;0,295102;0,090719;0,537218;0,200020;0;0;49,76;1066,82;4796,38;0,024740;0,00;0,024740;0,024740
11;36991;35640;24893;2476;153375,63;124976,66;46012,69;306751,27;0.00;0.00;0,291292;0,174281;0,532153;0,209849;0;0;40,73;1013,43;4666,00;0,024760;0,00;0,024760;0,024760
12;41408;33000;23061;2531;156466,22;128058,28;46939,86;312932,43;0.00;0.00;0,295836;0,124957;0,544302;0,192806;0;0;62,77;1084,16;4842,19;0,025310;0,00;0,025310;0,025310
13;38848;34639;24010;2503;153914,59;126023,78;46174,38;307829,17;0.00;0.00;0,293414;0,089376;0,535403;0,204108;0;0;51,66;1050,19;4757,78;0,025030;0,00;0,025030;0,025030
14;36718;35796;24931;2555;152551,49;124900,07;45765,45;305102,98;0.00;0.00;0,291301;0,130145;0,531451;0,211429;0;0;38,60;1008,79;4660,51;0,025550;0,00;0,025550;0,025550
15;44634;31078;21921;2367;158759,39;130878,36;47627,82;317518,78;0.00;0.00;0,296265;0,145785;0,550294;0,182172;0;0;86,19;1154,72;4953,86;0,023670;0,00;0,023670;0,023670
16;41553;33092;22881;2474;156564,96;128244,57;46969,49;313129,91;0.00;0.00;0,295539;0,206966;0,543174;0,192154;0;0;67,26;1095,62;4849,41;0,024740;0,00;0,024740;0,024740
17;36665;35858;24915;2562;153055,08;125332,43;45916,52;306110,16;0.00;0.00;0,291245;0,190620;0,531994;0,210571;0;0;40,38;1009,97;4641,73;0,025620;0,00;0,025620;0,025620
18;38551;34989;24003;2457;153262,25;125853,78;45978,68;306524,51;0.00;0.00;0,292377;0,144852;0,535230;0,203790;0;0;54,35;1042,98;4754,30;0,024570;0,00;0,024570;0,024570
19;39122;34318;24070;2490;154263,86;126547,39;46279,16;308527,72;0.00;0.00;0,293595;0,169469;0,538194;0,201810;0;0;51,39;1049,48;4766,92;0,024900;0,00;0,024900;0,024900
20;40024;33742;23662;2572;155112,81;127316,56;46533,84;310225,62;0.00;0.00;0,295026;0,108752;0,540611;0,197331;0;0;56,04;1062,35;4786,50;0,025720;0,00;0,025720;0,025720
21;34930;37327;25269;2474;151702,75;123891,63;45510,82;303405,50;0.00;0.00;0,287369;0,112494;0,526884;0,216244;0;0;46,19;986,08;4559,13;0,024740;0,00;0,024740;0,024740
22;37593;35206;24596;2605;152562,05;125423,45;45768,61;305124,09;0.00;0.00;0,292779;0,183591;0,532651;0,207936;0;0;43,19;1026,43;4684,87;0,026050;0,00;0,026050;0,026050
23;43028;32271;22222;2479;157642,59;129907,45;47292,78;315285,18;0.00;0.00;0,295874;0,161904;0,548102;0,186313;0;0;70,30;1129,86;4892,16;0,024790;0,00;0,024790;0,024790
24;36476;36140;24836;2548;152946,65;125352,85;45884,00;305893,31;0.00;0.00;0,290699;0,139559;0,532216;0,209752;0;0;39,53;1012,26;4647,90;0,025480;0,00;0,025480;0,025480
25;37171;35728;24541;2560;152908,28;124925,10;45872,48;305816,57;0.00;0.00;0,291787;0,131038;0,533380;0,208272;0;0;45,25;1021,10;4677,34;0,025600;0,00;0,025600;0,025600
26;38650;34913;23905;2532;153568,95;126125,30;46070,69;307137,91;0.00;0.00;0,292975;0,173921;0,535691;0,203525;0;0;50,34;1045,58;4755,79;0,025320;0,00;0,025320;0,025320
27;41979;32334;23113;2574;157824,42;129298,72;47347,33;315648,84;0.00;0.00;0,297307;0,140971;0,544378;0,190305;0;0;61,32;1099,86;4859,13;0,025740;0,00;0,025740;0,025740
28;35038;36620;25763;2579;151064,17;123192,95;45319,25;302128,35;0.00;0.00;0,289486;0,127424;0,525793;0,217528;0;0;29,02;986,61;4568,34;0,025790;0,00;0,025790;0,025790
29;35424;36623;25515;2438;151779,37;123969,05;45533,81;303558,73;0.00;0.00;0,288839;0,166046;0,528093;0,215075;0;0;35,09;994,91;4587,98;0,024380;0,00;0,024380;0,024380
30;36317;36382;24846;2455;151771,43;124206,16;45531,43;303542,87;0.00;0.00;0,289633;0,192328;0,529667;0,212261;0;0;42,80;1007,27;4639,22;0,024550;0,00;0,024550;0,024550
