Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree
1;-0,215979;0,835860;0,119433;3,590386;5541,000000;9006649055,837954;0,377828;0,040000;0,300000;0,101215;0,018219;0,923358;0,573009;0,075355;0,031185;0,000000;0,000000;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
2;-0,216583;0,837930;0,123103;3,571299;5541,000000;9032147649,857521;0,372817;0,040000;0,300000;0,102925;0,020178;0,900709;0,602222;0,078659;0,023404;0,000000;0,000000;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
3;-0,219242;0,837080;0,132448;3,586429;5541,000000;9004275051,658000;0,383652;0,040000;0,300000;0,111787;0,020660;0,929825;0,632385;0,086381;0,055901;0,000000;0,000000;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
4;-0,217175;0,844400;0,119830;3,565610;5541,000000;9078966619,519184;0,373834;0,040000;0,300000;0,100116;0,019714;0,907801;0,602439;0,075157;0,019523;0,000000;0,000000;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
5;-0,210364;0,823930;0,106949;3,644290;5541,000000;8864989006,886572;0,403205;0,040000;0,300000;0,081918;0,025031;0,902527;0,527514;0,043634;0,019493;0,000000;0,000000;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
6;-0,215385;0,838190;0,117592;3,587145;5541,000000;9001556578,311872;0,365459;0,040000;0,300000;0,097529;0,020063;0,927536;0,565611;0,069182;0,035491;0,000000;0,000000;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
7;-0,215550;0,830490;0,124622;3,616399;5541,000000;8927749936,521643;0,379746;0,040000;0,300000;0,101478;0,023144;0,900000;0,591954;0,069964;0,046843;0,000000;0,000000;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
8;-0,216718;0,830360;0,128087;3,608728;5541,000000;8940471558,217798;0,368760;0,040000;0,300000;0,106769;0,021318;0,882143;0,634545;0,064820;0,031915;0,000000;0,000000;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
9;-0,215364;0,834720;0,119518;3,603849;5541,000000;8951567977,321072;0,382779;0,040000;0,300000;0,098501;0,021016;0,911348;0,589362;0,062997;0,035565;0,000000;0,000000;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
10;-0,217628;0,833070;0,129830;3,607663;5541,000000;8949341084,599861;0,381873;0,040000;0,300000;0,108704;0,021127;0,905594;0,668008;0,065177;0,047817;0,000000;0,000000;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
11;-0,219526;0,851780;0,121347;3,519882;5541,000000;9197179655,808180;0,383939;0,040000;0,300000;0,107035;0,014312;0,906475;0,561111;0,094259;0,034483;0,000000;0,000000;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
12;-0,218561;0,841400;0,127262;3,569717;5541,000000;9057928229,374247;0,369495;0,040000;0,300000;0,108220;0,019042;0,930070;0,593182;0,087776;0,027484;0,000000;0,000000;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
13;-0,216329;0,837710;0,121156;3,579075;5541,000000;9025751016,664143;0,373158;0,040000;0,300000;0,101149;0,020007;0,933333;0,579070;0,077018;0,029661;0,000000;0,000000;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
14;-0,218865;0,839260;0,130013;3,579375;5541,000000;9029414188,509207;0,366987;0,040000;0,300000;0,110987;0,019026;0,936170;0,602620;0,090486;0,042424;0,000000;0,000000;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
15;-0,215276;0,827780;0,127128;3,633646;5541,000000;8884001329,521124;0,403086;0,040000;0,300000;0,098050;0,029078;0,935484;0,653179;0,060864;0,033663;0,000000;0,000000;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
16;-0,213806;0,827910;0,120142;3,627822;5541,000000;8885130822,902680;0,386835;0,040000;0,300000;0,095120;0,025022;0,904255;0,604418;0,062278;0,031809;0,000000;0,000000;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
17;-0,220002;0,850820;0,124600;3,527819;5541,000000;9180430727,207182;0,371656;0,040000;0,300000;0,110800;0,013800;0,910448;0,534247;0,113402;0,044706;0,000000;0,000000;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
18;-0,215141;0,837040;0,116737;3,590504;5541,000000;8979854681,649180;0,373616;0,040000;0,300000;0,097956;0,018781;0,935018;0,564835;0,066374;0,025806;0,000000;0,000000;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
19;-0,217922;0,842840;0,120397;3,567082;5541,000000;9065308786,074907;0,393394;0,040000;0,300000;0,104751;0,015646;0,908759;0,571795;0,089974;0,041850;0,000000;0,000000;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
20;-0,217804;0,842370;0,123243;3,561361;5541,000000;9070331392,440935;0,359416;0,040000;0,300000;0,106722;0,016521;0,901060;0,562500;0,082021;0,037363;0,000000;0,000000;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
21;-0,220182;0,851990;0,124045;3,524029;5541,000000;9167114380,634266;0,365224;0,040000;0,300000;0,110374;0,013671;0,932624;0,510029;0,108500;0,044084;0,000000;0,000000;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
22;-0,217587;0,834710;0,128867;3,604101;5541,000000;8963961435,525297;0,381481;0,040000;0,300000;0,105803;0,023064;0,906475;0,625984;0,068966;0,052953;0,000000;0,000000;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
23;-0,216925;0,833280;0,126522;3,612381;5541,000000;8953813572,376205;0,398788;0,040000;0,300000;0,103981;0,022541;0,900735;0,620968;0,075000;0,053061;0,000000;0,000000;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
24;-0,215602;0,842950;0,116985;3,562095;5541,000000;9068596173,438564;0,348545;0,040000;0,300000;0,097901;0,019084;0,918440;0,509615;0,085845;0,024229;0,000000;0,000000;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
25;-0,216368;0,838970;0,118827;3,572799;5541,000000;9032441612,996265;0,364912;0,040000;0,300000;0,103788;0,015039;0,914286;0,547344;0,083127;0,027083;0,000000;0,000000;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
26;-0,216041;0,840670;0,119652;3,577922;5541,000000;9041235524,383236;0,368256;0,040000;0,300000;0,098069;0,021583;0,906810;0,573034;0,069967;0,039301;0,000000;0,000000;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
27;-0,217289;0,834980;0,127918;3,603638;5541,000000;8975551066,240416;0,395820;0,040000;0,300000;0,104760;0,023158;0,895131;0,636364;0,079425;0,046414;0,000000;0,000000;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
28;-0,218127;0,846660;0,119510;3,538980;5541,000000;9136375482,735872;0,367769;0,040000;0,300000;0,105519;0,013991;0,893238;0,537084;0,092114;0,033113;0,000000;0,000000;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
29;-0,218376;0,840220;0,127068;3,576398;5541,000000;9019898346,125834;0,386432;0,040000;0,300000;0,107707;0,019361;0,921429;0,604444;0,087296;0,025478;0,000000;0,000000;1750,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000
