Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanSavings;MedianSavings;P10Savings;P90Savings;MeanDebt;TotalDebt;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;45411;29967;19475;5147;131582,58;106966,28;39474,77;263165,15;0.00;0.00;0,379387;0,091538;0,552387;0,177501;0;0;0,00;445,72;4449,10;0,051470;0,00;0,051470;0,051470
2;46924;29364;18882;4830;133421,58;108549,35;40026,47;266843,16;0.00;0.00;0,376244;0,104215;0,558473;0,169360;0;0;0,00;508,08;4508,62;0,048300;0,00;0,048300;0,048300
3;48450;28405;18549;4596;136088,95;110953,70;40826,69;272177,90;0.00;0.00;0,373176;0,125171;0,564325;0,161462;0;0;0,00;568,88;4549,25;0,045960;0,00;0,045960;0,045960
4;45163;30241;19591;5005;132062,33;107351,15;39618,70;264124,67;0.00;0.00;0,379069;0,201366;0,554697;0,177588;0;0;0,00;437,44;4445,60;0,050050;0,00;0,050050;0,050050
5;49779;27913;17800;4508;138198,65;112635,45;41459,59;276397,29;0.00;0.00;0,370666;0,110518;0,571022;0,153016;0;0;0,00;634,64;4575,66;0,045080;0,00;0,045080;0,045080
6;46733;29517;18930;4820;133813,11;108944,36;40143,93;267626,22;0.00;0.00;0,376041;0,037897;0,558946;0,171128;0;0;0,00;497,34;4498,39;0,048200;0,00;0,048200;0,048200
7;48128;28452;18612;4808;135224,03;110146,02;40567,21;270448,05;0.00;0.00;0,374665;0,187332;0,563827;0,164053;0;0;0,00;549,18;4523,88;0,048080;0,00;0,048080;0,048080
8;49070;28182;18069;4679;135944,29;111027,76;40783,29;271888,57;0.00;0.00;0,372620;0,130122;0,564546;0,161007;0;0;0,00;599,48;4542,82;0,046790;0,00;0,046790;0,046790
9;48873;27871;18581;4675;135808,14;110597,25;40742,44;271616,29;0.00;0.00;0,373709;0,170937;0,565287;0,160881;0;0;0,00;583,94;4547,79;0,046750;0,00;0,046750;0,046750
10;47466;28848;18912;4774;134884,72;109791,57;40465,42;269769,43;0.00;0.00;0,375490;0,086887;0,559476;0,167483;0;0;0,00;523,19;4513,50;0,047740;0,00;0,047740;0,047740
11;44732;30180;20085;5003;131819,71;106176,19;39545,91;263639,42;0.00;0.00;0,380210;0,171338;0,551510;0,181300;0;0;0,00;424,63;4421,04;0,050030;0,00;0,050030;0,050030
12;48515;28270;18469;4746;135747,78;110476,65;40724,33;271495,55;0.00;0.00;0,374062;0,120565;0,565744;0,161347;0;0;0,00;570,55;4533,04;0,047460;0,00;0,047460;0,047460
13;45652;29977;19325;5046;131828,72;106917,18;39548,62;263657,45;0.00;0.00;0,378957;0,085387;0,553144;0,177399;0;0;0,00;456,38;4468,88;0,050460;0,00;0,050460;0,050460
