Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanSavings;MedianSavings;P10Savings;P90Savings;MeanDebt;TotalDebt;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;49390;26451;17302;6857;128868,84;104993,00;38660,65;257737,67;0.00;0.00;0,403041;0,091071;0,570889;0,153223;0;0;0,00;452,90;4428,93;0,068570;0,00;0,068570;0,068570
2;48945;26792;17228;7035;127456,86;103171,94;38237,06;254913,71;0.00;0.00;0,404973;0,103786;0,569032;0,156329;0;0;0,00;426,22;4424,93;0,070350;0,00;0,070350;0,070350
3;48732;27018;17396;6854;128303,56;103889,57;38491,07;256607,11;0.00;0.00;0,404289;0,124540;0,568893;0,156298;0;0;0,00;411,05;4430,36;0,068540;0,00;0,068540;0,068540
4;47038;27740;18066;7156;126908,61;102722,78;38072,58;253817,22;0.00;0.00;0,409304;0,202023;0,567310;0,161478;0;0;0,00;320,28;4363,28;0,071560;0,00;0,071560;0,071560
5;52612;25102;16022;6264;132958,55;107932,62;39887,56;265917,09;0.00;0.00;0,393146;0,109758;0,582766;0,137363;0;0;0,00;747,54;4515,48;0,062640;0,00;0,222860;0,062640
6;49017;26801;17433;6749;129088,70;104599,27;38726,61;258177,40;0.00;0.00;0,403340;0,037432;0,571942;0,154000;0;0;0,00;432,26;4436,97;0,067490;0,00;0,067490;0,067490
7;50894;25848;16734;6524;130897,63;106607,66;39269,29;261795,27;0.00;0.00;0,398189;0,186980;0,577433;0,146447;0;0;0,00;572,12;4466,64;0,065240;0,00;0,232580;0,065240
8;50793;25934;16672;6601;130893,46;106919,50;39268,04;261786,92;0.00;0.00;0,398953;0,129505;0,576577;0,146041;0;0;0,00;566,92;4456,12;0,066010;0,00;0,232730;0,066010
9;49752;26527;17133;6588;130152,19;105640,12;39045,66;260304,38;0.00;0.00;0,401051;0,170608;0,574952;0,148789;0;0;0,00;480,93;4442,57;0,065880;0,00;0,065880;0,065880
10;49895;26491;17024;6590;130735,16;106015,79;39220,55;261470,32;0.00;0.00;0,400960;0,086211;0,573569;0,148973;0;0;0,00;493,03;4438,57;0,065900;0,00;0,065900;0,065900
