Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanSavings;MedianSavings;P10Savings;P90Savings;MeanDebt;TotalDebt;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;60800;13495;8178;17527;99704,48;77918,35;29911,35;199408,97;0.00;0.00;0,490209;0,083280;0,641746;0,056520;0;0;0,00;1044,31;3826,71;0,175270;0,00;0,392000;0,392000
2;61144;13365;8002;17489;99521,64;77911,29;29856,49;199043,27;0.00;0.00;0,488609;0,095451;0,641915;0,056957;0;0;0,00;1041,24;3850,36;0,174890;0,00;0,388560;0,388560
3;62534;13477;7660;16329;102730,28;81156,64;30819,08;205460,56;0.00;0.00;0,476754;0,115845;0,645566;0,050020;0;0;0,00;1121,75;3865,46;0,163290;0,00;0,374660;0,374660
4;58845;14004;8586;18565;97380,65;75708,90;29214,19;194761,30;0.00;0.00;0,505914;0,195574;0,640708;0,061490;0;0;0,00;917,11;3795,97;0,185650;0,00;0,411550;0,411550
5;58395;14684;8765;18156;98563,97;76631,25;29569,19;197127,95;0.00;0.00;0,509044;0,101589;0,639965;0,060700;0;0;0,00;887,37;3793,94;0,181560;0,00;0,416050;0,416050
6;57632;13863;9068;19437;95676,14;74016,69;28702,84;191352,27;0.00;0.00;0,515568;0,033170;0,637418;0,066286;0;0;0,00;828,62;3790,30;0,194370;0,00;0,423680;0,423680
7;61470;13764;8044;16722;101470,92;79765,02;30441,28;202941,84;0.00;0.00;0,485338;0,179996;0,644037;0,054395;0;0;0,00;1067,06;3844,37;0,167220;0,00;0,385300;0,385300
8;61434;13557;7926;17083;100723,92;79553,15;30217,18;201447,85;0.00;0.00;0,485654;0,120844;0,642886;0,055022;0;0;0,00;1066,73;3834,12;0,170830;0,00;0,385660;0,385660
9;58739;14282;8738;18241;97996,90;76442,14;29399,07;195993,80;0.00;0.00;0,506696;0,163276;0,639371;0,061494;0;0;0,00;897,84;3801,13;0,182410;0,00;0,412610;0,412610
10;58835;14199;8371;18595;98509,04;76849,46;29552,71;197018,08;0.00;0.00;0,505990;0,078822;0,640322;0,058313;0;0;0,00;914,02;3795,46;0,185950;0,00;0,411650;0,411650
