Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanSavings;MedianSavings;P10Savings;P90Savings;MeanDebt;TotalDebt;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;24381;42761;30425;2433;176064,62;145740,67;52819,39;352129,24;0.00;0.00;0,208955;0,102043;0,511067;0,242239;0;0;667,29;1784,10;4431,12;0,024330;0,00;0,024330;0,024330
2;21756;43957;32001;2286;173941,87;143743,25;52182,56;347883,74;0.00;0.00;0,201167;0,114633;0,505152;0,252440;0;0;664,54;1747,29;4146,42;0,022860;0,00;0,022860;0,022860
3;26781;41479;29538;2202;177314,69;146912,09;53194,41;354629,38;0.00;0.00;0,213218;0,136318;0,515035;0,236602;0;0;682,27;1812,63;4649,56;0,022020;0,00;0,022020;0,022020
4;20927;43772;33026;2275;172935,23;142517,76;51880,57;345870,46;0.00;0.00;0,199733;0,208450;0,501618;0,259135;0;0;654,90;1727,64;4024,54;0,022750;0,00;0,022750;0,022750
5;22656;43282;31679;2383;174201,38;143719,11;52260,41;348402,76;0.00;0.00;0,204880;0,120626;0,504853;0,253087;0;0;663,07;1758,62;4264,42;0,023830;0,00;0,023830;0,023830
6;21283;44130;32301;2286;174691,57;144689,37;52407,47;349383,15;0.00;0.00;0,199925;0,043295;0,505333;0,253185;0;0;661,72;1737,81;4065,90;0,022860;0,00;0,022860;0,022860
7;27634;40935;29041;2390;178992,59;148940,52;53697,78;357985,18;0.00;0.00;0,216767;0,196309;0,520634;0,230363;0;0;684,14;1822,02;4723,09;0,023900;0,00;0,023900;0,023900
8;23693;43123;30936;2248;176090,38;145490,36;52827,11;352180,75;0.00;0.00;0,206020;0,141336;0,508941;0,246426;0;0;668,51;1772,72;4356,62;0,022480;0,00;0,022480;0,022480
9;23228;43157;31274;2341;174998,88;144425,93;52499,66;349997,77;0.00;0.00;0,205791;0,180691;0,506680;0,249846;0;0;667,27;1762,51;4338,84;0,023410;0,00;0,023410;0,023410
10;22990;43428;31332;2250;175576,42;145284,02;52672,93;351152,84;0.00;0.00;0,203993;0,096459;0,506306;0,248558;0;0;665,45;1762,93;4279,20;0,022500;0,00;0,022500;0,022500
11;20060;44410;33253;2277;172699,13;142100,36;51809,74;345398,26;0.00;0.00;0,197050;0,180344;0,497771;0,263584;0;0;648,46;1710,09;3919,47;0,022770;0,00;0,022770;0,022770
12;22810;43031;31805;2354;175200,86;144642,95;52560,26;350401,72;0.00;0.00;0,205050;0,131445;0,508400;0,248749;0;0;661,00;1752,96;4284,14;0,023540;0,00;0,023540;0,023540
