Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanSavings;MedianSavings;P10Savings;P90Savings;MeanDebt;TotalDebt;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;21158;43850;32580;2412;179551,48;148607,00;53865,44;359102,96;0.00;0.00;0,193875;0,102896;0,503475;0,254044;0;0;785,39;1916,23;4199,98;0,024120;0,00;0,024120;0,024120
2;18078;44143;35502;2277;174626,57;143960,14;52387,97;349253,15;0.00;0.00;0,185564;0,115086;0,488425;0,277273;0;0;774,15;1850,58;3711,64;0,022770;0,00;0,022770;0,022770
3;25955;42028;29845;2172;183369,05;152390,98;55010,71;366738,09;0.00;0.00;0,202951;0,137822;0,515311;0,236977;0;0;813,68;1986,59;4706,29;0,021720;0,00;0,021720;0,021720
4;17350;44683;35696;2271;174924,06;144580,85;52477,22;349848,11;0.00;0.00;0,183146;0,208673;0,490183;0,276178;0;0;768,99;1845,93;3562,93;0,022710;0,00;0,022710;0,022710
5;22939;43414;31280;2367;180771,55;149387,30;54231,46;361543,09;0.00;0.00;0,197640;0,122480;0,508151;0,248222;0;0;800,23;1950,76;4386,57;0,023670;0,00;0,023670;0,023670
6;18942;44399;34387;2272;177493,67;146672,08;53248,10;354987,35;0.00;0.00;0,187173;0,043833;0,495364;0,268517;0;0;779,46;1875,27;3847,37;0,022720;0,00;0,022720;0,022720
7;22204;43509;31896;2391;180683,20;150471,01;54204,96;361366,40;0.00;0.00;0,196292;0,197073;0,506865;0,251462;0;0;794,05;1932,67;4298,08;0,023910;0,00;0,023910;0,023910
8;23362;43229;31177;2232;182160,24;150957,51;54648,07;364320,49;0.00;0.00;0,197468;0,142829;0,509441;0,246138;0;0;802,66;1948,37;4440,67;0,022320;0,00;0,022320;0,022320
9;21125;44112;32446;2317;179995,02;149592,54;53998,51;359990,05;0.00;0.00;0,192820;0,182031;0,504345;0,254405;0;0;789,40;1919,11;4166,30;0,023170;0,00;0,023170;0,023170
10;21848;43625;32287;2240;180663,83;149580,62;54199,15;361327,65;0.00;0.00;0,194317;0,097923;0,504303;0,253030;0;0;790,55;1922,27;4255,90;0,022400;0,00;0,022400;0,022400
