Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree;IoFlows;IoGdpRatio
21;-0,239901;0,909390;0,180118;3,559978;6416,000000;24822336683,678220;0,360300;0,040000;0,300000;0,174541;0,005577;0,922509;0,670157;0,286239;0,051020;0,000000;0,000000;3500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
22;-0,232369;0,878060;0,171422;3,667559;6416,000000;24529888146,084990;0,369884;0,040000;0,300000;0,161750;0,009671;0,911439;0,660221;0,185958;0,068878;0,000000;0,000000;3500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
23;-0,232261;0,874310;0,173262;3,678289;6416,000000;24516633887,638770;0,379536;0,040000;0,300000;0,160852;0,012409;0,921642;0,675879;0,185050;0,056150;0,000000;0,000000;3500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
24;-0,238154;0,902990;0,179724;3,589608;6416,000000;24730887545,410250;0,355762;0,040000;0,300000;0,171121;0,008602;0,950758;0,636719;0,244012;0,028674;0,000000;0,000000;3500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
25;-0,235793;0,894380;0,176354;3,615116;6416,000000;24676617098,118820;0,361366;0,040000;0,300000;0,165632;0,010722;0,929104;0,668966;0,219766;0,041935;0,000000;0,000000;3500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
26;-0,232006;0,887380;0,167241;3,642190;6416,000000;24626051836,777450;0,354977;0,040000;0,300000;0,154784;0,012457;0,908759;0,668810;0,184564;0,028571;0,000000;0,000000;3500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
27;-0,227323;0,860230;0,164621;3,733629;6416,000000;24404819410,567097;0,371808;0,040000;0,300000;0,149175;0,015446;0,890511;0,682105;0,146014;0,062657;0,000000;0,000000;3500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
28;-0,240986;0,905980;0,188745;3,568693;6416,000000;24796333276,491800;0,366140;0,040000;0,300000;0,177996;0,010749;0,927273;0,661290;0,277966;0,048611;0,000000;0,000000;3500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
29;-0,232485;0,883050;0,170073;3,652818;6416,000000;24544382034,109650;0,359280;0,040000;0,300000;0,160232;0,009841;0,916364;0,708709;0,166834;0,059172;0,000000;0,000000;3500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
30;-0,233239;0,888180;0,170615;3,633832;6416,000000;24611465041,501312;0,358647;0,040000;0,300000;0,160234;0,010381;0,923954;0,657627;0,207087;0,053292;0,000000;0,000000;3500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
