Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanSavings;MedianSavings;P10Savings;P90Savings;MeanDebt;TotalDebt;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;45899;30354;18547;5200;133710,84;92053,58;40113,25;267421,68;0.00;0.00;0,378044;0,098050;0,553177;0,175351;0;0;0,00;470,88;4494,34;0,052000;0,00;0,052000;0,052000
2;47083;29618;18140;5159;135418,52;93321,29;40625,55;270837,03;0.00;0.00;0,376742;0,139252;0,558329;0,169870;0;0;0,00;510,27;4527,08;0,051590;0,00;0,051590;0,051590
3;44888;30816;18919;5377;132797,35;90838,73;39839,20;265594,70;0.00;0.00;0,380552;0,054679;0,551310;0,180544;0;0;0,00;437,35;4468,99;0,053770;0,00;0,053770;0,053770
4;47115;29606;18216;5063;135619,21;93763,01;40685,76;271238,42;0.00;0.00;0,376553;0,206974;0,560880;0,167568;0;0;0,00;509,49;4551,01;0,050630;0,00;0,050630;0,050630
5;51025;27287;17037;4651;141399,71;98581,14;42419,91;282799,42;0.00;0.00;0,369465;0,182957;0,573784;0,146764;0;0;0,00;710,75;4666,12;0,046510;0,00;0,046510;0,046510
6;43782;31347;19464;5407;131919,33;90303,90;39575,80;263838,66;0.00;0.00;0,381370;0,244780;0,548773;0,183175;0;0;0,00;403,45;4409,35;0,054070;0,00;0,054070;0,054070
7;46436;29829;18489;5246;134936,56;93368,60;40480,97;269873,13;0.00;0.00;0,378346;0,156968;0,556988;0,172128;0;0;0,00;483,20;4508,83;0,052460;0,00;0,052460;0,052460
8;48832;28774;17403;4991;137012,65;94521,80;41103,79;274025,30;0.00;0.00;0,373951;0,162478;0,562812;0,161658;0;0;0,00;593,13;4560,82;0,049910;0,00;0,049910;0,049910
9;45651;30198;18961;5190;134664,96;93169,49;40399,49;269329,93;0.00;0.00;0,379042;0,129205;0,554791;0,174508;0;0;0,00;456,70;4502,15;0,051900;0,00;0,051900;0,051900
10;44458;30864;19155;5523;133310,07;91184,80;39993,02;266620,14;0.00;0.00;0,381743;0,161956;0,549814;0,181397;0;0;0,00;421,40;4438,42;0,055230;0,00;0,055230;0,055230
11;47325;29552;18036;5087;136581,07;94164,90;40974,32;273162,14;0.00;0.00;0,376290;0,065779;0,559824;0,167136;0;0;0,00;524,43;4542,21;0,050870;0,00;0,050870;0,050870
12;46714;29661;18471;5154;134904,23;92780,25;40471,27;269808,46;0.00;0.00;0,378122;0,127059;0,555522;0,172546;0;0;0,00;493,09;4527,71;0,051540;0,00;0,051540;0,051540
13;51163;27592;16670;4575;141194,85;98584,57;42358,46;282389,70;0.00;0.00;0,368279;0,168651;0,573103;0,148195;0;0;0,00;730,88;4674,23;0,045750;0,00;0,045750;0,045750
14;43153;31920;19278;5649;131767,92;90474,00;39530,38;263535,85;0.00;0.00;0,382863;0,189942;0,545059;0,188022;0;0;0,00;388,58;4404,87;0,056490;0,00;0,056490;0,056490
15;47446;29366;18187;5001;136345,77;93564,89;40903,73;272691,54;0.00;0.00;0,375976;0,144653;0,560647;0,167201;0;0;0,00;525,05;4548,95;0,050010;0,00;0,050010;0,050010
16;45514;30765;18422;5299;133918,17;91085,77;40175,45;267836,35;0.00;0.00;0,379355;0,173063;0,551772;0,176352;0;0;0,00;449,21;4471,50;0,052990;0,00;0,052990;0,052990
17;46944;29719;18342;4995;136075,53;94510,36;40822,66;272151,06;0.00;0.00;0,376650;0,140637;0,558905;0,169100;0;0;0,00;505,59;4525,01;0,049950;0,00;0,049950;0,049950
18;49865;28060;17253;4822;138712,20;96212,24;41613,66;277424,40;0.00;0.00;0,371524;0,142960;0,567642;0,156160;0;0;0,00;648,15;4629,72;0,048220;0,00;0,048220;0,048220
19;47214;29283;18377;5126;135597,96;93958,51;40679,39;271195,92;0.00;0.00;0,377131;0,068087;0,557468;0,169929;0;0;0,00;515,93;4554,35;0,051260;0,00;0,051260;0,051260
20;49051;28467;17681;4801;138960,88;95759,25;41688,26;277921,77;0.00;0.00;0,373079;0,183061;0,567856;0,156703;0;0;0,00;597,74;4613,21;0,048010;0,00;0,048010;0,048010
21;44173;31308;19211;5308;133049,04;91378,98;39914,71;266098,07;0.00;0.00;0,380652;0,054071;0,551021;0,180284;0;0;0,00;413,29;4441,78;0,053080;0,00;0,053080;0,053080
22;43278;31803;19384;5535;131527,84;89842,18;39458,35;263055,68;0.00;0.00;0,382500;0,124757;0,547952;0,184853;0;0;0,00;388,89;4389,67;0,055350;0,00;0,055350;0,055350
23;48026;29167;17722;5085;136865,71;94438,71;41059,71;273731,42;0.00;0.00;0,374994;0,124148;0,562470;0,162602;0;0;0,00;547,43;4571,65;0,050850;0,00;0,050850;0,050850
24;44462;31209;18906;5423;132495,33;90592,40;39748,60;264990,66;0.00;0.00;0,380871;0,134246;0,550377;0,180601;0;0;0,00;421,87;4457,88;0,054230;0,00;0,054230;0,054230
25;46510;29691;18799;5000;136466,63;93790,34;40939,99;272933,27;0.00;0.00;0,377489;0,153287;0,557134;0,171212;0;0;0,00;483,53;4522,16;0,050000;0,00;0,050000;0,050000
26;47531;29442;17996;5031;137615,97;95141,16;41284,79;275231,95;0.00;0.00;0,375854;0,111843;0,560704;0,164975;0;0;0,00;527,55;4534,11;0,050310;0,00;0,050310;0,050310
27;45537;30515;18586;5362;134330,28;91998,08;40299,08;268660,57;0.00;0.00;0,379915;0,157751;0,553426;0,174687;0;0;0,00;454,98;4486,79;0,053620;0,00;0,053620;0,053620
28;48345;28866;17879;4910;137449,52;94695,67;41234,85;274899,03;0.00;0.00;0,374826;0,126354;0,562631;0,163114;0;0;0,00;562,91;4567,38;0,049100;0,00;0,049100;0,049100
29;47162;29438;18294;5106;136556,17;94812,26;40966,85;273112,34;0.00;0.00;0,377087;0,192644;0,559839;0,167144;0;0;0,00;511,40;4535,84;0,051060;0,00;0,051060;0,051060
30;47947;29264;17846;4943;137058,63;94061,10;41117,59;274117,27;0.00;0.00;0,374323;0,191721;0,560355;0,165224;0;0;0,00;541,43;4565,11;0,049430;0,00;0,049430;0,049430
