Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree;IoFlows;IoGdpRatio
1;-0,212274;0,806340;0,112781;3,476730;4916,000000;-1862004034,898140;0,370422;0,040000;0,300000;0,092376;0,020405;0,938849;0,518797;0,073767;0,030075;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
2;-0,212217;0,800640;0,119160;3,505223;4916,000000;-1920537522,671234;0,410403;0,040000;0,300000;0,086174;0,032986;0,891608;0,590381;0,061657;0,030189;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
3;-0,210813;0,804720;0,110916;3,496906;4916,000000;-1896238237,727337;0,399310;0,040000;0,300000;0,081116;0,029801;0,921147;0,528881;0,062947;0,025830;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
4;-0,213181;0,809800;0,114141;3,478779;4916,000000;-1829732025,824720;0,413882;0,040000;0,300000;0,087361;0,026780;0,893617;0,552239;0,070301;0,025000;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
5;-0,208748;0,789760;0,113629;3,554853;4916,000000;-2044316094,944925;0,445005;0,040000;0,300000;0,070475;0,043154;0,881720;0,544141;0,065331;0,018083;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
6;-0,212327;0,811300;0,110142;3,458648;4916,000000;-1781322332,828590;0,369654;0,040000;0,300000;0,090601;0,019541;0,911032;0,504115;0,079096;0,025097;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
7;-0,212300;0,805470;0,113633;3,488060;4916,000000;-1864248923,701847;0,413677;0,040000;0,300000;0,087422;0,026211;0,905797;0,532847;0,071497;0,038023;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
8;-0,209791;0,795830;0,111575;3,515357;4916,000000;-1972403866,874561;0,407967;0,040000;0,300000;0,080822;0,030753;0,890071;0,558923;0,054299;0,034991;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
9;-0,214243;0,812360;0,115873;3,473856;4916,000000;-1813824561,311204;0,413066;0,040000;0,300000;0,092138;0,023735;0,925267;0,560886;0,066284;0,022814;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
10;-0,212764;0,805280;0,114313;3,488537;4916,000000;-1863879894,862301;0,396862;0,040000;0,300000;0,092024;0,022289;0,936170;0,534351;0,071229;0,040153;0,000000;0,000000;500,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
