Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree;IoFlows;IoGdpRatio
21;-0,200272;0,627570;0,188092;3,744241;4666,000000;-7216293799,546990;0,085546;0,040000;0,300262;0,065889;0,122203;0,760563;0,480188;0,201413;0,031773;0,000911;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
22;-0,202668;0,702800;0,139801;3,636344;4666,000000;-6972584315,927420;0,244835;0,040000;0,300000;0,082522;0,057279;0,718310;0,412403;0,126795;0,052632;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
23;-0,201501;0,608030;0,203053;3,771311;4666,000000;-7279164455,393386;0,017572;0,040000;0,311553;0,070941;0,132112;0,728223;0,512338;0,221163;0,038591;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
24;-0,197377;0,648230;0,154051;3,719600;4666,000000;-7189545253,729127;0,138416;0,040000;0,300000;0,060387;0,093664;0,758741;0,415278;0,151781;0,020134;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
25;-0,200116;0,654010;0,162393;3,709980;4666,000000;-7144691394,649114;0,155180;0,040000;0,300000;0,070833;0,091560;0,735395;0,454672;0,158037;0,021849;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
26;-0,201880;0,665730;0,166504;3,689920;4666,000000;-7085355610,519422;0,180421;0,040000;0,300000;0,074231;0,092273;0,725000;0,462251;0,165233;0,045840;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
27;-0,200880;0,657000;0,168598;3,702359;4666,000000;-7116975085,021745;0,148846;0,040000;0,300000;0,071260;0,097338;0,726644;0,468556;0,165167;0,037162;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
28;-0,197876;0,666810;0,143837;3,700247;4666,000000;-7127903030,211309;0,205848;0,040000;0,300000;0,061738;0,082099;0,725979;0,421245;0,131486;0,033727;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
29;-0,201516;0,678030;0,154822;3,674324;4666,000000;-7060659285,041373;0,187634;0,040000;0,300000;0,077411;0,077411;0,751748;0,451353;0,143404;0,037351;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
30;-0,202645;0,566020;0,207448;3,848692;4666,000000;-7445729674,385591;0,004664;0,040000;0,346505;0,070026;0,137422;0,731707;0,538015;0,221372;0,031773;0,000909;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
