Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree;IoFlows;IoGdpRatio
21;-0,201995;0,663240;0,168993;3,699137;4666,000000;-7106669853,972697;0,171284;0,040000;0,300000;0,074759;0,094233;0,748252;0,468220;0,166877;0,040404;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
22;-0,200130;0,668210;0,151750;3,698204;4666,000000;-7103961416,233942;0,177383;0,040000;0,300000;0,070860;0,080890;0,707746;0,440467;0,143255;0,036913;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
23;-0,200812;0,628920;0,188768;3,753882;4666,000000;-7224717466,985839;0,080333;0,040000;0,302247;0,068227;0,120541;0,764706;0,486922;0,199906;0,028523;0,000455;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
24;-0,198356;0,668540;0,144423;3,699144;4666,000000;-7121579369,830672;0,175964;0,040000;0,300000;0,065864;0,078559;0,756272;0,421397;0,132615;0,020236;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
25;-0,198252;0,671840;0,140311;3,698147;4666,000000;-7105451703,328895;0,192134;0,040000;0,300000;0,064851;0,075459;0,716312;0,400730;0,131733;0,026936;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
26;-0,200041;0,685500;0,141058;3,671099;4666,000000;-7036802497,654012;0,222473;0,040000;0,300000;0,070864;0,070195;0,722420;0,413476;0,130731;0,040609;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
27;-0,201030;0,646510;0,171483;3,725107;4666,000000;-7151307072,264815;0,134982;0,040000;0,300000;0,072673;0,098810;0,715789;0,481894;0,169830;0,033557;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
28;-0,201679;0,675060;0,155504;3,687059;4666,000000;-7086729166,599935;0,190136;0,040000;0,300000;0,077479;0,078026;0,744898;0,445906;0,145780;0,037415;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
29;-0,201683;0,680070;0,152330;3,675087;4666,000000;-7060396272,491095;0,213939;0,040000;0,300000;0,076440;0,075889;0,735915;0,452469;0,139866;0,032203;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
30;-0,198814;0,634370;0,170056;3,748532;4666,000000;-7237628543,820390;0,118300;0,040000;0,300317;0,062480;0,107576;0,709790;0,463315;0,172613;0,021849;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
