Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanSavings;MedianSavings;P10Savings;P90Savings;MeanDebt;TotalDebt;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;84850;4569;1555;9026;115529,52;92637,51;34658,86;231059,05;0.00;0.00;0,307825;0,081771;0,666275;0,017895;572;87;0,00;1877,62;3969,13;0,090260;0,00;0,157570;0,151500
2;81808;6171;2140;9881;111845,84;88970,48;33553,75;223691,68;0.00;0.00;0,333673;0,092738;0,666305;0,018876;717;144;0,00;1798,62;3942,27;0,098810;0,00;0,187150;0,181920
3;84532;4171;1519;9778;114907,66;91686,63;34472,30;229815,31;0.00;0.00;0,311033;0,113113;0,666813;0,018169;507;69;0,00;1865,87;3971,06;0,097780;0,00;0,161100;0,154680
4;82848;5932;1869;9351;113398,02;90531,16;34019,41;226796,05;0.00;0.00;0,325371;0,184609;0,667842;0,017983;637;112;0,00;1822,84;3950,42;0,093510;0,00;0,177370;0,171520
5;82028;5911;1939;10122;112322,68;89720,86;33696,81;224645,37;0.00;0.00;0,331998;0,098406;0,666094;0,018855;664;82;0,00;1795,64;3941,42;0,101220;0,00;0,184930;0,179720
6;80310;6567;2373;10750;110694,01;88638,68;33208,20;221388,03;0.00;0.00;0,345577;0,032884;0,665126;0,021188;864;170;0,00;1752,29;3927,76;0,107500;0,00;0,202010;0,196900
7;86719;3475;1371;8435;118043,31;94595,16;35412,99;236086,63;0.00;0.00;0,293311;0,172246;0,669077;0,016608;464;79;0,00;1925,67;3987,77;0,084350;0,00;0,140040;0,132810
8;84491;4851;1555;9103;115364,98;92507,62;34609,50;230729,97;0.00;0.00;0,311562;0,117185;0,667205;0,016827;556;80;0,00;1864,12;3960,71;0,091030;0,00;0,161330;0,155090
9;83371;5335;1794;9500;113459,64;90995,84;34037,89;226919,29;0.00;0.00;0,320559;0,155794;0,667446;0,017311;637;108;0,00;1842,19;3950,42;0,095000;0,00;0,171960;0,166290
10;87829;2702;1707;7762;121342,06;97383,43;36402,62;242684,13;0.00;0.00;0,284131;0,078615;0,666144;0,019752;583;95;0,00;1939,59;3997,62;0,077620;0,00;0,129480;0,121710
11;84523;5019;1617;8841;116567,79;93177,27;34970,34;233135,57;0.00;0.00;0,311856;0,156437;0,667054;0,018306;567;80;0,00;1859,01;3950,82;0,088410;0,00;0,160820;0,154770
12;83173;5476;1933;9418;113142,91;90806,71;33942,87;226285,81;0.00;0.00;0,322414;0,107438;0,667467;0,018107;647;105;0,00;1825,59;3952,88;0,094180;0,00;0,173980;0,168270
13;84315;4867;1517;9301;115015,70;92460,09;34504,71;230031,41;0.00;0.00;0,313222;0,075877;0,667110;0,017760;541;94;0,00;1862,76;3961,66;0,093010;0,00;0,163280;0,156850
14;85097;4121;1558;9224;116382,54;93163,67;34914,76;232765,08;0.00;0.00;0,306286;0,114705;0,666714;0,019075;539;85;0,00;1882,73;3972,45;0,092240;0,00;0,155760;0,149030
15;87410;2745;1505;8340;119142,68;95421,83;35742,81;238285,37;0.00;0.00;0,287612;0,129245;0,667309;0,018416;467;65;0,00;1939,10;3990,25;0,083400;0,00;0,133480;0,125900
16;81961;6164;2066;9809;112356,61;89871,61;33706,98;224713,23;0.00;0.00;0,332687;0,190191;0,665075;0,019217;732;108;0,00;1797,82;3943,75;0,098090;0,00;0,185830;0,180390
17;85851;3959;1456;8734;116851,68;93874,48;35055,50;233703,36;0.00;0.00;0,299874;0,172954;0,669135;0,017085;508;86;0,00;1911,72;3972,65;0,087340;0,00;0,148450;0,141490
18;85209;4473;1429;8889;115580,72;92381,64;34674,22;231161,44;0.00;0.00;0,305790;0,128071;0,667103;0,017166;474;72;0,00;1886,47;3981,86;0,088890;0,00;0,154680;0,147910
19;86454;3325;1524;8697;117918,59;94614,25;35375,58;235837,18;0.00;0.00;0,294844;0,152392;0,668437;0,018893;491;57;0,00;1923,52;3969,51;0,086970;0,00;0,142100;0,135460
20;82729;5782;1923;9566;112772,02;90234,81;33831,61;225544,04;0.00;0.00;0,326062;0,092508;0,667055;0,018301;639;93;0,00;1813,61;3953,35;0,095660;0,00;0,178250;0,172710
21;86890;3098;1463;8549;118652,21;95059,87;35595,66;237304,41;0.00;0.00;0,291253;0,098605;0,666831;0,018397;467;83;0,00;1928,86;3978,71;0,085490;0,00;0,138220;0,131100
22;86046;3637;1431;8886;116512,80;93814,00;34953,84;233025,60;0.00;0.00;0,298627;0,165817;0,668326;0,016852;454;81;0,00;1913,22;3979,68;0,088860;0,00;0,146390;0,139540
23;86568;3241;1463;8728;117455,33;94185,79;35236,60;234910,67;0.00;0.00;0,294674;0,144631;0,668392;0,017876;496;90;0,00;1926,09;3980,91;0,087280;0,00;0,140990;0,134320
24;85324;4441;1480;8755;115963,41;92934,10;34789,02;231926,82;0.00;0.00;0,305290;0,122625;0,668205;0,016835;497;71;0,00;1886,91;3975,97;0,087550;0,00;0,152960;0,146760
25;82897;5761;1885;9457;113328,25;90394,37;33998,48;226656,51;0.00;0.00;0,324719;0,113879;0,667506;0,017850;668;107;0,00;1823,52;3946,43;0,094570;0,00;0,177220;0,171030
26;81710;6286;2180;9824;112286,00;89807,03;33685,80;224571,99;0.00;0.00;0,334587;0,155623;0,665879;0,019367;788;121;0,00;1788,74;3938,28;0,098240;0,00;0,187710;0,182900
27;85902;3934;1485;8679;117908,79;94142,09;35372,64;235817,59;0.00;0.00;0,300118;0,124268;0,666414;0,018271;515;76;0,00;1901,43;3975,14;0,086790;0,00;0,147190;0,140980
28;82199;5809;1953;10039;112859,32;90305,20;33857,80;225718,64;0.00;0.00;0,331068;0,111256;0,664391;0,019755;694;113;0,00;1797,09;3954,93;0,100390;0,00;0,183410;0,178010
29;81967;6276;2080;9677;112607,66;90033,15;33782,30;225215,32;0.00;0.00;0,331972;0,147943;0,665761;0,019132;710;127;0,00;1800,73;3931,84;0,096770;0,00;0,185590;0,180330
30;86167;3844;1477;8512;117007,24;93785,83;35102,17;234014,49;0.00;0.00;0,297582;0,174684;0,667716;0,017281;518;84;0,00;1916,21;3979,87;0,085120;0,00;0,145520;0,138330
