Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree;IoFlows;IoGdpRatio
1;-0,223537;0,850400;0,141500;3,566008;5666,000000;11268575955,250843;0,379899;0,040000;0,300000;0,128043;0,013457;0,942446;0,603406;0,126287;0,047727;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
2;-0,217186;0,843790;0,122054;3,590713;5666,000000;11207785200,828789;0,366866;0,040000;0,300000;0,104235;0,017820;0,906475;0,585302;0,091487;0,040359;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
3;-0,218057;0,835840;0,131343;3,631936;5666,000000;11089179853,554058;0,375306;0,040000;0,300000;0,112841;0,018502;0,910394;0,609658;0,088125;0,039095;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
4;-0,218373;0,848560;0,121158;3,572676;5666,000000;11253049598,239603;0,381282;0,040000;0,300000;0,106383;0,014775;0,897887;0,567123;0,091272;0,036117;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
5;-0,215503;0,832810;0,122648;3,652824;5666,000000;11059019251,274584;0,405969;0,040000;0,300000;0,101122;0,021527;0,891304;0,622449;0,066829;0,036325;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
6;-0,217228;0,846440;0,119330;3,587981;5666,000000;11216650700,159630;0,349748;0,040000;0,300000;0,106093;0,013237;0,923358;0,575916;0,078197;0,046809;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
7;-0,217607;0,843250;0,124498;3,611224;5666,000000;11167258353,344915;0,374184;0,040000;0,300000;0,107860;0,016638;0,894161;0,594037;0,084211;0,041485;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
8;-0,217325;0,837280;0,127538;3,612416;5666,000000;11148779243,197554;0,367094;0,040000;0,300000;0,108896;0,018642;0,900709;0,626068;0,079724;0,036017;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
9;-0,218574;0,845480;0,123237;3,596439;5666,000000;11204849071,002392;0,378460;0,040000;0,300000;0,110296;0,012942;0,913357;0,596618;0,078313;0,045161;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
10;-0,219514;0,840820;0,134988;3,611794;5666,000000;11156693582,480038;0,366109;0,040000;0,300000;0,114871;0,020117;0,898601;0,652928;0,087186;0,059322;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
