Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree;IoFlows;IoGdpRatio
1;-0,201424;0,694680;0,134683;3,654095;4666,000000;-7039215586,716012;0,253889;0,040000;0,300000;0,077575;0,057107;0,763636;0,384314;0,125601;0,035897;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
2;-0,197550;0,642990;0,160114;3,738692;4666,000000;-7218860065,141433;0,140427;0,040000;0,300000;0,059023;0,101091;0,728873;0,458042;0,153214;0,025084;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
3;-0,199986;0,678320;0,147951;3,679949;4666,000000;-7097186669,779063;0,218461;0,040000;0,300000;0,067996;0,079956;0,744755;0,426756;0,139142;0,028814;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
4;-0,202521;0,689400;0,150391;3,660408;4666,000000;-7059059865,733589;0,222317;0,040000;0,300000;0,079218;0,071173;0,731707;0,424752;0,144368;0,057336;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
5;-0,201398;0,630790;0,189935;3,741729;4666,000000;-7239769058,193748;0,091452;0,040000;0,300000;0,070952;0,118983;0,691489;0,480885;0,210526;0,031720;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
6;-0,200806;0,692080;0,139235;3,655977;4666,000000;-7058056005,025519;0,210402;0,040000;0,300000;0,076957;0,062278;0,703833;0,411272;0,126371;0,044444;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
7;-0,199657;0,670640;0,152465;3,691565;4666,000000;-7125183147,731360;0,178941;0,040000;0,300000;0,068451;0,084013;0,743056;0,461426;0,135039;0,033784;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
8;-0,196518;0,612710;0,178264;3,770789;4666,000000;-7290288383,950226;0,050712;0,040000;0,313232;0,051622;0,126642;0,716783;0,484231;0,179056;0,028476;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
9;-0,200812;0,691940;0,141042;3,656170;4666,000000;-7032898844,391414;0,248464;0,040000;0,300000;0,072208;0,068834;0,743151;0,408771;0,133192;0,022298;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
10;-0,199656;0,649220;0,167826;3,725031;4666,000000;-7194897204,701210;0,148630;0,040000;0,300000;0,064861;0,102965;0,778571;0,462403;0,166831;0,023609;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
