Seed;HH_Employed;HH_Unemployed;HH_Retraining;HH_Bankrupt;MeanSavings;MedianSavings;P10Savings;P90Savings;MeanDebt;TotalDebt;Gini_Individual;Gini_Wealth;MeanSkill;MeanHealthPenalty;RetrainingAttempts;RetrainingSuccesses;ConsumptionP10;ConsumptionP50;ConsumptionP90;BankruptcyRate;MeanMonthsToRuin;PovertyRate_50pct;PovertyRate_30pct
1;46860;29049;20205;3886;175613,29;139454,51;52683,99;351226,57;0.00;0.00;0,371743;0,121774;0,554577;0,173728;0;0;0,00;492,85;4496,04;0,038860;0,00;0,038860;0,038860
2;47508;28915;19835;3742;176232,17;140083,46;52869,65;352464,34;0.00;0.00;0,370220;0,133014;0,557038;0,171397;0;0;0,00;522,06;4522,16;0,037420;0,00;0,037420;0,037420
3;48822;28090;19529;3559;177972,63;141580,40;53391,79;355945,27;0.00;0.00;0,367863;0,149463;0,560849;0,165050;0;0;0,00;577,09;4563,92;0,035590;0,00;0,035590;0,035590
4;45748;29557;20789;3906;173905,92;137806,21;52171,78;347811,85;0.00;0.00;0,373445;0,231070;0,551829;0,180379;0;0;0,00;453,28;4464,03;0,039060;0,00;0,039060;0,039060
5;48803;27935;19592;3670;177353,83;141131,68;53206,15;354707,66;0.00;0.00;0,369065;0,138040;0,560086;0,166162;0;0;0,00;576,11;4557,60;0,036700;0,00;0,036700;0,036700
6;50284;27227;18997;3492;180265,99;143747,97;54079,80;360531,99;0.00;0.00;0,365323;0,048049;0,566482;0,158551;0;0;0,00;670,57;4607,09;0,034920;0,00;0,034920;0,034920
7;47515;28673;19955;3857;175769,89;139622,89;52730,97;351539,77;0.00;0.00;0,371203;0,215769;0,557840;0,171748;0;0;0,00;517,26;4515,10;0,038570;0,00;0,038570;0,038570
8;47053;29161;20130;3656;176137,50;140518,54;52841,25;352275,01;0.00;0.00;0,370213;0,155157;0,556392;0,171802;0;0;0,00;503,19;4494,03;0,036560;0,00;0,036560;0,036560
9;46401;29220;20545;3834;174371,93;139009,99;52311,58;348743,85;0.00;0.00;0,372298;0,201966;0,552157;0,178040;0;0;0,00;478,54;4475,66;0,038340;0,00;0,038340;0,038340
10;49785;27707;18993;3515;178901,19;142655,58;53670,36;357802,38;0.00;0.00;0,366401;0,112766;0,562330;0,162616;0;0;0,00;637,35;4579,15;0,035150;0,00;0,035150;0,035150
11;47319;28794;20104;3783;176355,81;139801,12;52906,74;352711,62;0.00;0.00;0,370952;0,201283;0,555481;0,173323;0;0;0,00;515,37;4484,98;0,037830;0,00;0,037830;0,037830
12;45955;29715;20411;3919;173080,61;137885,44;51924,18;346161,22;0.00;0.00;0,372787;0,155964;0,551401;0,179636;0;0;0,00;464,36;4466,21;0,039190;0,00;0,039190;0,039190
13;45119;30261;20756;3864;173689,76;138089,55;52106,93;347379,53;0.00;0.00;0,373163;0,106822;0,549450;0,182674;0;0;0,00;438,26;4452,78;0,038640;0,00;0,038640;0,038640
14;46505;29263;20416;3816;175436,71;139430,01;52631,01;350873,43;0.00;0.00;0,371833;0,160576;0,554583;0,175984;0;0;0,00;484,98;4489,37;0,038160;0,00;0,038160;0,038160
