Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree;IoFlows;IoGdpRatio
1;-0,220674;0,844260;0,133512;3,586141;5666,000000;11197975341,097452;0,371531;0,040000;0,300000;0,120314;0,013198;0,928315;0,612293;0,102828;0,044543;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
2;-0,217571;0,842720;0,125214;3,595423;5666,000000;11174027140,456076;0,368991;0,040000;0,300000;0,106565;0,018649;0,915789;0,603687;0,078125;0,032823;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
3;-0,217930;0,837580;0,128991;3,621522;5666,000000;11100630005,501722;0,385166;0,040000;0,300000;0,111275;0,017715;0,933798;0,614561;0,079538;0,042553;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
4;-0,219614;0,848490;0,127244;3,574842;5666,000000;11260548568,302525;0,387613;0,040000;0,300000;0,110278;0,016966;0,897059;0,583756;0,106505;0,048140;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
5;-0,217114;0,837970;0,126179;3,610416;5666,000000;11134645862,746485;0,371442;0,040000;0,300000;0,108233;0,017946;0,899281;0,611111;0,084071;0,028017;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
6;-0,214892;0,832980;0,119964;3,638776;5666,000000;11064682569,860294;0,388223;0,040000;0,300000;0,100090;0,019874;0,923358;0,592827;0,066425;0,041322;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
7;-0,217826;0,843140;0,124572;3,585628;5666,000000;11182688594,863876;0,364405;0,040000;0,300000;0,110308;0,014264;0,888502;0,549261;0,096594;0,046875;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
8;-0,218050;0,844440;0,123293;3,591980;5666,000000;11181957178,637266;0,382609;0,040000;0,300000;0,108290;0,015003;0,880000;0,600000;0,085147;0,037862;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
9;-0,219919;0,846890;0,127474;3,571668;5666,000000;11235448475,901693;0,362951;0,040000;0,300000;0,117191;0,010283;0,886926;0,588808;0,096243;0,039911;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
10;-0,216516;0,834370;0,126973;3,623978;5666,000000;11102162309,741594;0,376373;0,040000;0,300000;0,106657;0,020316;0,910072;0,637339;0,080266;0,035491;0,000000;0,000000;2000,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
