Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree;IoFlows;IoGdpRatio
1;-0,202697;0,636050;0,194624;3,724781;4666,000000;-7243815603,143015;0,077821;0,040000;0,300000;0,076578;0,118045;0,795139;0,512048;0,202600;0,028571;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
2;-0,198723;0,682880;0,137175;3,674364;4666,000000;-7117949434,108742;0,236061;0,040000;0,300000;0,065263;0,071911;0,676157;0,426426;0,120802;0,027211;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
3;-0,203239;0,633470;0,199081;3,730264;4666,000000;-7258029437,876138;0,092525;0,040000;0,300000;0,076457;0,122624;0,741007;0,521505;0,212308;0,045531;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
4;-0,202071;0,678030;0,160722;3,678107;4666,000000;-7120830268,205215;0,225480;0,040000;0,300000;0,074306;0,086416;0,731034;0,464419;0,156555;0,032203;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
5;-0,203348;0,653840;0,180557;3,702786;4666,000000;-7189011431,094624;0,130285;0,040000;0,300000;0,081528;0,099029;0,760563;0,491724;0,181818;0,042017;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
6;-0,201155;0,689990;0,143697;3,656146;4666,000000;-7095752147,749064;0,214279;0,040000;0,300000;0,077060;0,066637;0,764912;0,416730;0,132693;0,032368;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
7;-0,200730;0,695150;0,137120;3,648360;4666,000000;-7050732271,079491;0,248898;0,040000;0,300000;0,073791;0,063330;0,731449;0,394344;0,129272;0,037351;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
8;-0,200969;0,677680;0,152688;3,675053;4666,000000;-7113458336,136697;0,200607;0,040000;0,300000;0,073541;0,079147;0,738516;0,457416;0,137664;0,038851;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
9;-0,201723;0,670050;0,163174;3,682598;4666,000000;-7139056452,712543;0,168028;0,040000;0,300000;0,076105;0,087070;0,738516;0,466523;0,155399;0,050847;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
10;-0,202799;0,582330;0,213432;3,820851;4666,000000;-7433715949,886089;0,010017;0,040000;0,333103;0,070604;0,142828;0,750903;0,549196;0,229696;0,036789;0,000910;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
