Seed;Inflation;Unemployment;TotalAdoption;ExRate;MarketWage;GovDebt;NPL;RefRate;PriceLevel;AutoRatio;HybridRatio;BPO_Auto;Manuf_Auto;Retail_Auto;Health_Auto;Public_Auto;Agri_Auto;EffectiveBDP;BPO_Sigma;Manuf_Sigma;Retail_Sigma;Health_Sigma;Public_Sigma;Agri_Sigma;MeanDegree;IoFlows;IoGdpRatio
1;-0,203529;0,649630;0,185571;3,713335;4666,000000;-7168908733,484306;0,123437;0,040000;0,300000;0,080975;0,104597;0,779720;0,506114;0,185605;0,038397;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
2;-0,199173;0,679430;0,144680;3,678313;4666,000000;-7097585416,550175;0,207647;0,040000;0,300000;0,066784;0,077896;0,741007;0,438416;0,127934;0,025381;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
3;-0,205427;0,648040;0,195698;3,711183;4666,000000;-7165629483,660051;0,117570;0,040000;0,300000;0,086563;0,109135;0,792254;0,516678;0,202952;0,048986;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
4;-0,200476;0,681060;0,149090;3,674811;4666,000000;-7076154452,145197;0,221827;0,040000;0,300000;0,069827;0,079263;0,697183;0,450000;0,135389;0,040956;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
5;-0,200600;0,667660;0,160030;3,690136;4666,000000;-7129145831,250912;0,159438;0,040000;0,300000;0,071954;0,088076;0,742160;0,446959;0,155068;0,032095;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
6;-0,199905;0,675570;0,150906;3,681767;4666,000000;-7103831787,783752;0,188455;0,040000;0,300000;0,068534;0,082372;0,766551;0,428675;0,140532;0,035473;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
7;-0,202410;0,636590;0,192073;3,736393;4666,000000;-7201825268,646776;0,108756;0,040000;0,300000;0,073066;0,119008;0,725352;0,504743;0,204371;0,040336;0,000455;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
8;-0,200204;0,656200;0,166006;3,706995;4666,000000;-7160336947,233367;0,153475;0,040000;0,300000;0,068437;0,097569;0,734767;0,485294;0,156775;0,030100;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
9;-0,200904;0,670300;0,158911;3,687272;4666,000000;-7109651858,378484;0,180819;0,040000;0,300000;0,073544;0,085367;0,758741;0,454023;0,149912;0,035533;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
10;-0,201899;0,592310;0,208743;3,800917;4666,000000;-7352086243,340959;0,007255;0,040000;0,323733;0,069480;0,139264;0,750000;0,549159;0,220068;0,038462;0,000000;0,000000;0,000000;50,000000;10,000000;5,000000;2,000000;1,000000;3,000000;6,000000;0,000000;0,000000
